review,sentiment
"It's 1982, Two years after the Iranian Embassy Siege which involved the dramatic SAS Rescue from the Balconys, and with a War with Argentina over the Falkland Islands currently taking place, what better film to make than a Gung-Ho ""SAS"" Film that re-creates the Iranian Hostage siege, whilst using Britains Number one action hero of the day, Lewis Collins. throw in Edward Woodward and a few other Well known actors and you've got a winner on your hands?...Well maybe not! The film itself doesn't make the situation serious enough, whilst the acting is quite second rate. it's like a Movie long episode of ""The Professionals"", but without the formula. This film goes nowhere fast and is quite predictable. Maybe Cubby Brocoli watched this film and decided to ditch Lewis Collins as a Touted James Bond Replacement for Roger Moore. Watch it if your a fan of Lewis Collins or SAS stuff in General, if not, save your time.",negative
"I first saw this movie when I was very little. I was born in 1985, so it was around the age when 80s cartoons were big. My mother taped it one day thinking I might like it. I had never even heard of the Rainbow Bright TV show before I was introduced to the movie. When I saw it (on one of those old BETA tapes...) I loved it. I became addicted to it. There are people who say it's badly written and all that, but it's a kid's movie, and things like that don't matter much to children. I loved the story, and especially liked the songs and all the female characters. Of course I pretended to be them, and in the scene where Rainbow first met Krys and they were repulsed they had to work with the opposite sex, I could totally relate. The story was the basic good vs. evil that children enjoy, and there were enough happy moments to balance out the scary ones. The world is a fantastic place that would stimulate the imagination of any young child. I am very glad I had an opportunity to see this movie when I was little. It made a big impact, and watching it now brings back happy memories of childhood. I would recommend to any parent with young children to rent this movie. It will trigger their imagination and provide plenty of entertainment. You're only a child once, so don't let them miss out on this one!",positive
"I have been a Mario fan for as long as I can remember, I have very fond memories of playing Super Mario World as a kid, this game has brought back many of those memories while adding something new. Super Mario Galaxy is the latest installment in the amazing Mario franchise. There is much very different about this game from any other Mario before it, while still keeping intact the greatest elements of Mario, the first noticeable difference is that the story takes place in space.<br /><br />The story begins much like any other Mario game, Mario receives a letter from Princess Peach inviting him to a celebration at her castle in the Mushroom Kingdom. Upon arriving at Peach's castle Mario finds Bowser and his son (Bowser Jr.) attacking the castle with their airships. Bowser kidnaps Princess Peach and then lifts her castle up into space. In the midst of the castle being lifted into space Mario falls off and lands on an unknown planet. Mario is found by a talking star named Luma and is taken back to the Luma's home, a floating space station, here Mario meets many other Lumas and also meets their leader, a woman named Rosalina. Rosalina tells Mario that Bowser has taken away the space station's Power Stars and scattered them across the universe, it is up to Mario to help the Lumas find them and save Peach, thus the adventure begins.<br /><br />The way you play the game is by flying from the space station to other galaxies, each galaxy consists of multiple planets that Mario travels amongst in levels via these shooting stars to retrieve the Power Stars. Mario can at many times walk all the way around planets without losing gravity, some planets are small and others are big, many planets are similar to classic Mario environments. The best thing about the game are the controls, all of the stuff like jumping and such is still the same, but the wiimote is used in many unique ways in this game. You shake the remote Mario will perform a spin that is used as the primary attack in the game, and it will as well activate the shooting stars. You can also point the remote at the screen and use the pointer to fire star bits at enemies or objects in the environment. Then there is the graphics, these are by far the best graphics on the Wii, it is just so hard to describe how great this game looks, you could probably almost say it looks as good as some 360 games.<br /><br />My only minor gripes is that the going upside down effect takes some getting used to, and also the story is pretty weak. The worst part is that you lose all of your lives when you turn off the game, no matter how many you had when you last quit you restart at 4 lives. Still these minor problems aside it's a superb game that is highly entertaining and is very challenging. This is the type of game that we've been waiting for on the Wii.<br /><br />A perfect 10 out of 10!",positive
"THE FEELING of the need to have someone play the role of Arbiter of Public Taste and Political Correctness always manages to get under our skin. It does seem that these self-appointed, self-superior, pseudo-intellectual types do appear everywhere; be it in one's family, church or bowling league.<br /><br />THESE are the guys who would have society completely disregard and ignore all that went before us; unless, of course, whatever 'it' is does not fly in the face of today's ""acceptable"" language, mores and general ""standards"" of ""proper"" behavior.<br /><br />SO it is that these latter day, high tech book burners have targeted a great deal of what was Hollywood's greatest achievement; namely their participation in our own Allied Propaganda via their unselfishly crafted message and theme films.<br /><br />COLDLY brutal in its generation, the Banned Code and List of Now Unacceptable extends into the Wartime Cartoons that don't meet with the new touchy, feely socially engineered 'official' attitudes; which these ""Thought Police"" have foisted down upon us.<br /><br />WE were truly surprised to see that there seem to be volumes of such animated short subjects. The majority we are aware of are from Warner Brothers' LOONEY TUNES and MERRIE MELODIES; featuring Bugs, Daffy, Elmer & Porky, all in conflict with Hitler, Goerring, 'Il Duce', Tojo and the like. Surprisingly though, we found an ample supply of cartoons from MGM, Walt Disney, Lantz, Paramount-Famous Studios and the Brothers Fleischer.<br /><br />YOU'RE A SAP MR. JAP (Famous Studios/Paramount Pictures, 1942) is a prime example of just what we're talking about.<br /><br />BEING virtually indiscernible from the cartoons that were the output of the Studios of Max and Dave Fleischer before the 1941 business coup-de-tat that moved them out, bringing the new name of ""Famous"" Studios, YOU'RE A SAP MR. JAP bore none of the bland plot elements that would reduce the latter day Popeye Cartoons down to the level of the ultimate formula short movie.<br /><br />WE all remember how we'd have Popeye and Olive Oyl together. Enter Bluto, usually the exponent of wolf whistle and an on acceptable on-screen version of a Male reaction to feminine pulchritude. Olive falls for Bluto's less than honorable attentions; until he gets a little too physical and invariably blurts out, ""Hey Babe, how 'bout a kiss?"" At this point we hear ""Help! Help, Popeye and the diminutive sailor shows up to save the day; replete with the obligatory can of Spinach! DO we exaggerate, Schultz? ONCE again this JAP SAP cartoon is nothing like any of that. Oh sure, it follows the storyline of now having Popeye in the U.S. Navy. The Brothers Fleischer put the little guy in the service in 1941 to conform to the mood in the country and as an open gesture of support for the men now being conscripted in the first Peacetime Draft in United States History. Max and Dave even put Popeye in service aboard the mythical Battleship, the U.S.S. Pensyltucky.<br /><br />OUR point is just this. YOU'RE A SAP MR. JAP and others like SPINACH FER Britain aren't cartoon vehicles for comic relief in the Theatre's program at all in the true sense. Rather they are a sort of grouping of Editorial Cartoons much like those from any ""Great Metropolitan Newspaper"". These animated shorts, much like those still one panel illustrations, have characters that are highly symbolic and representative of Nations, Ideas and Ideals, such as a just and lasting Peace. In most cases, the hero (Popeye, Bugs Bunny or whoever) is alone with the symbol of the Enemy. Both are highly exaggerated visual metaphors for abstract concept and thought; even if they are cloaked in humorous trappings for wider palatability.<br /><br />OUR liberal stupidgencia (the antithesis of intelligencia) may not see themselves this way; but for this sort of behavior, they are no more than Neo Nazi Book burners.<br /><br />PLEASE, allow the future generations to view and appreciate a view of past happenings that is both Historical and Humorous.<br /><br />POODLE SCHNITZ!!",positive
excellent drama. very dark. i have never seen california photographed in such a way. bridget fonda as the deaf wife beaten by her husband is superb. the film gripped me from start to finish. very understated performance by sutherland. the direction was very european. amazing to get such a performance from fonda.,positive
"**** WARNING: here be spoilers **** Why do I waste my hastily fleeing years watching garbage like this? This film is an impressive collection of clichés, poor writing, worse directing, and then we haven't even got to the acting yet. <br /><br />And of course, you can predict the whole story from beginning to end.<br /><br />Hero expert fights against stupid, corrupt and incompetent henchmen. One avalanche goes off, burying all the heroes who somehow manage to get out alive in spite of going through all sorts of cliffhanger perils. Corrupt partner who caused the whole thing gets fried alive together with his payoff money. Second avalanche heroically deflected by renegade expert's adventurous experiment. Evil henchmen in the end turn out to have a heart as well. Troubled teenager falls into the arms of her crusty stepmother after being saved by her. Etc, etc, etc, etc, on and on it goes. <br /><br />In fact, there's little reason to warn for spoilers. You could probably work the whole plot out if I gave you the basic ingredients. At least, I wasn't too wide off the mark most of the time, anticipating what would happen next.<br /><br />And then we haven't discussed the factual errors.<br /><br />I agree with a previous commentator that even though there are usually SOME redeeming features even of a bad movie. you'd be hard pressed to find any in this one. I suppose I gave it 2 out of 10 for some nice scenery shots, but that's it.<br /><br />It's been some time since a film made me groan, but this one certainly did.",negative
"I can't say how closely the film follows the novel, never having read the book, but since this clocks in at some six and a half hours it's a good bet that most of the base are covered or, at least, we can say with some certainty that this isn't a Reader's Digest condensed version.<br /><br />The production values are high, well up to the standards of other BBC classic series like Inspector Morse and Sherlock Holmes. We can believe Dickens' London looked, sounded, and thought a lot like this. There are some occasional minor lapses -- some sportsman firing a pistol with a percussion cap in 1840 or 1820 or whenever this took place.<br /><br />The acting too is to be applauded. Suzanne Burden is the polite and honest heroine who quietly goes about doing good. She's cute too, in a mature way, her beauty in her compassionate nature not in any flirtatiousness. Denholm Elliott is her guardian (and more than that, as it turns out). Burden and Elliott are two of the very few characters who are good in an unalloyed way. Another is a former sergeant forced to do evil by evil people. Another is a poor and helpless young boy.<br /><br />I don't think anyone else could have written this. It's got all the earmarks of Dickens -- poverty, tragic deaths, capitalism in the raw, the generous rich guy in his gated home, hidden parentage, shadowy motives, and the impotence or outright maliciousness of the justice system. Well, not the justice system as a whole but the chancery, which was evidently a court that decided matters having to do with the distribution of property. (So I gather from Wikipedia.) It became so notoriously rigid and dilatory that it was thoroughly revamped in England in 1973. Twice, Elliott's character describes it as ""a curse."" The most impressive scene involves a money-scrounging creditor hounding a retired soldier in the latter's gymnasium during a fencing lesson. The sergeant is more masculine in the traditional sense than any other male character I remember from Dickens. The apoplectic money lender and renter is screaming threats from his seat and the sergeant turns towards him and does one delicate exercise with the saber after another, each advancement bringing him closer to his tormentor, while the scarlet-faced old creditor shrinks back into his seat.<br /><br />A couple of things are missing. Often Dickens will stick in at least one or two amusing lines of dialog. (""Humbug!"" or ""The law is a ass."") Not here. ""Bleak"" house is the right title. Second, there are practically no Weberian ""ideal types"" -- no Mr. Micawbers or Artful Dodgers or Scrooges. Third, the atmosphere, the whole ethos, is relentlessly dismal. One tribulation follows another, usually having to do with money or some shameful peccadillo out of the past.<br /><br />My God, it's depressing. It's as if the author were venting his spleen on everything he hated in the world he knew. Poverty, okay. He KNEW poverty. But one wonders what the chancery did to Dickens to deserve this kind of treatment.<br /><br />Maybe I should add that I've just watched the first episode of the 2005 series -- and it's better in two ways. There is more zip in the direction, so the pace is a little faster. And the business of Jarndyce vs. Jarndyce is explained satisfactorily right up front, instead of lurking about in the shadows as that mysterious ""curse,"" so the plot is easier to follow.",positive
mature intelligent and highly charged melodrama unbelivebly filmed in China in 1948. wei wei's stunning performance as the catylast in a love triangle is simply stunning if you have the oppurunity to see this magnificent film take it,positive
"This movie is up there with the all-time classics. The music, camera shots, and acting are excellent. Showing the movie in black and white gave it a much better appearance and complemented the music perfectly, like Psycho. Its surprising how so few people have commented on this movie. My guess is that its a hard movie to find. I gave the film a 9. See the movie and you'll know what I'm talking about.",positive
"It is enjoyable and fast-paced. <br /><br />There is no way on Earth that the actor playing Mat could be eighteen. However, the main thing is that he does act eighteen very convincingly. It must be a credit to his audition that he convinced them to cast him. I quite soon accepted him as being a naive young country boy.<br /><br />While his was the best performance, most of the others were also very engaging. In particular, the interplay between the policemen was natural and well-balanced, and worked very well.<br /><br />It is only about 45 minutes long, so the plot is not complex. More key is the style of the whole thing. It is very slick and vibrant, and the backdrops are atmospheric, especially from the fact that all the colours are extremely rich. The gangland is identifiable to foreign audiences, but still manages to be distinctly Australian.",negative
